date,temp_avg,temp_min,temp_max,temp_observ,precip,wind,wt_fog,wt_heavy_fog,wt_thunder,wt_sleet,wt_hail,wt_glaze,wt_haze,wt_drift_snow,wt_high_wind,wt_mist,wt_drizzle,wt_rain,wt_freeze_rain,wt_snow,wt_ground_fog,wt_ice_fog,wt_freeze_drizzle,wt_unknown,casual,registered,total_cust,holiday
2011-01-01,,-1.56666666666667,11.9733333333333,2.77272727272727,0.0693333333333333,2.575,1,,,,,,1,,,1,,1,,,,,,,330,629,959,
2011-01-02,,0.88,13.8066666666667,7.32727272727273,1.03734939759036,3.925,1,1,,,,,,,,1,1,1,,,,,,,130,651,781,
2011-01-03,,-3.44285714285714,7.46428571428571,-3.06,1.87882352941177,3.625,,,,,,,,,,,,,,,,,,,120,1181,1301,
2011-01-04,,-5.95714285714286,4.64285714285714,-3.1,0,1.8,,,,,,,,,,,,,,,,,,,107,1429,1536,
2011-01-05,,-4.29333333333333,6.11333333333333,-1.77272727272727,0,2.95,,,,,,,,,,,,,,,,,,,82,1489,1571,
2011-01-06,,-4.99333333333333,4.23333333333333,-4.24545454545455,0,1.6,,,,,,,,,,,,,,1,,,,,88,1485,1573,
2011-01-07,,-3.88571428571429,2.85714285714286,-1.57,0.101204819277108,2.55,1,,,,,,1,,,1,,,,1,,,,,148,1345,1493,
2011-01-08,,-3.98,0.486666666666667,-2.47272727272727,0.285057471264368,4.575,1,1,,,,,1,,,1,,,,1,,1,,,68,871,939,
2011-01-09,,-6.29333333333333,0.226666666666667,-6.07272727272727,0.283529411764706,6.425,,,,,,,,,1,,,,,,,,,,54,748,802,
2011-01-10,,-6.23846153846154,0.507692307692308,-5.17777777777778,0,2.975,,,,,,,,,1,,,,,,,,,,41,1257,1298,
2011-01-11,,-5.91428571428571,0.564285714285714,-3.1,0.460240963855422,1.35,1,,,1,,,1,,,,1,1,,1,,1,1,,43,1188,1231,
2011-01-12,,-5.11428571428572,0.192857142857143,-3.38,3.52688172043011,5.675,1,,,,,1,1,,,1,,,,,,,,,25,1116,1141,
2011-01-13,,-4.6,1.03571428571429,-4.16,0,5.025,,,,,,,,,1,,,,,,,,,,37,1346,1383,
2011-01-14,,-7.34285714285714,1.16153846153846,-5.83,0.00379746835443038,2.125,1,,,,,,,,,,,,,1,,,,,54,1330,1384,
2011-01-15,,-5.66,2.78,-3.94545454545455,0,2.2,1,,,,,,1,,,,,,,,,,,,222,1018,1240,
2011-01-16,,-4.08,5.62666666666667,0.409090909090909,0,3.3,,,,,,,,,,,,,,,,,,,251,937,1188,
2011-01-17,,-3.37142857142857,2.18571428571429,-2.12,0.42051282051282,3.1,1,,,1,,,,,,,,1,1,1,,,,,117,876,993,1
